DATE,LREM64TTUSM156N
1975-08-01,64.3912012305547
1975-09-01,63.2146693495923
1975-10-01,63.7039387209355
1975-11-01,63.30711155694
1975-12-01,63.2664588134291
1976-01-01,62.3725602237527
1976-02-01,62.4735332542459
1976-03-01,63.0098368522073
1976-04-01,63.6661076337935
1976-05-01,64.1116884087766
1976-06-01,64.9303249016637
1976-07-01,65.7472480790586
1976-08-01,65.4943517540074
1976-09-01,64.236353638782
1976-10-01,64.743822876695
1976-11-01,64.5578720345076
1976-12-01,64.4265849669575
1977-01-01,63.2420850419299
1977-02-01,63.3769874940052
1977-03-01,64.0183025221229
1977-04-01,64.6291486716158
1977-05-01,65.1383492114793
1977-06-01,66.2953483767353
1977-07-01,66.751607281461
1977-08-01,66.6425364512496
1977-09-01,65.6633807959109
1977-10-01,66.2519871075007
1977-11-01,66.3493681948946
1977-12-01,66.3840061671382
1978-01-01,65.1813336044502
1978-02-01,65.2103278212939
1978-03-01,65.6945621545661
1978-04-01,66.4074481321798
1978-05-01,66.8270237863061
1978-06-01,68.1339919950961
1978-07-01,68.4074066071776
1978-08-01,68.312103056153
1978-09-01,67.3964888084361
1978-10-01,68.0265083053619
1978-11-01,67.8862021544809
1978-12-01,67.7025074737881
1979-01-01,66.600489898521
1979-02-01,66.7339486184614
1979-03-01,67.1522971317896
1979-04-01,67.1996072320533
1979-05-01,67.5107972949935
1979-06-01,68.633013923072
1979-07-01,69.3310195842335
1979-08-01,68.7750251135415
1979-09-01,68.1941824399274
1979-10-01,68.4328889578208
1979-11-01,68.1797059817506
1979-12-01,68.2056906625045
1980-01-01,66.7979527791234
1980-02-01,66.7931143287873
1980-03-01,66.9318579732474
1980-04-01,66.8734786379788
1980-05-01,66.8890643229913
1980-06-01,67.5974184545613
1980-07-01,68.1083603839563
1980-08-01,67.6781525998204
1980-09-01,66.9997010338666
1980-10-01,67.3588732081342
1980-11-01,67.2029694383737
1980-12-01,67.0002633658151
1981-01-01,65.9812152631178
1981-02-01,66.0489943234068
1981-03-01,66.5939060697535
1981-04-01,67.1593590858278
1981-05-01,67.454348680265
1981-06-01,67.7881371104348
1981-07-01,68.5658274865869
1981-08-01,68.2060940152728
1981-09-01,66.9044839662158
1981-10-01,67.2332427909018
1981-11-01,66.8452898972802
1981-12-01,66.1618409251183
1982-01-01,65.0001026068993
1982-02-01,65.0032807501982
1982-03-01,65.2555741455253
1982-04-01,65.4569644867465
1982-05-01,66.0608993803723
1982-06-01,66.5181976680832
1982-07-01,67.0579269329958
1982-08-01,66.8683997579203
1982-09-01,65.8013275628962
1982-10-01,65.7560002172024
1982-11-01,65.4136715041367
1982-12-01,65.0298143379862
1983-01-01,63.9666601214698
1983-02-01,63.8889640614852
1983-03-01,64.2565475466137
1983-04-01,64.8000648547861
1983-05-01,65.2252860373283
1983-06-01,66.7338859250966
1983-07-01,67.6291424643873
1983-08-01,67.529362642099
1983-09-01,66.805068606537
1983-10-01,66.9591586987803
1983-11-01,67.1951735674888
1983-12-01,67.0813165862206
1984-01-01,65.9352359014879
1984-02-01,66.3425894948143
1984-03-01,66.8202333589649
1984-04-01,67.3564570122746
1984-05-01,68.2744116174261
1984-06-01,69.424244445927
1984-07-01,69.7797985319902
1984-08-01,69.2392767199222
1984-09-01,68.4612414454238
1984-10-01,68.6977053541736
1984-11-01,68.7134910983074
1984-12-01,68.5631565666627
1985-01-01,67.4923320011154
1985-02-01,67.6344720970813
1985-03-01,68.2125834443715
1985-04-01,68.4691430010204
1985-05-01,68.9051036893821
1985-06-01,69.4899444297433
1985-07-01,70.1471025751215
1985-08-01,69.9626027433465
1985-09-01,69.3174313865335
1985-10-01,69.5859252858019
1985-11-01,69.4934915142528
1985-12-01,69.2952069860253
1986-01-01,68.2804937235201
1986-02-01,68.0879933401942
1986-03-01,68.6095482620172
1986-04-01,68.9027663223492
1986-05-01,69.3993825060834
1986-06-01,70.5068552234319
1986-07-01,71.0776343369836
1986-08-01,70.8748189422312
1986-09-01,69.9335580665984
1986-10-01,70.2988224260108
1986-11-01,70.1741026392008
1986-12-01,70.0323889799422
