DATE,USEHS
1974-04-01,5262
1974-05-01,5304
1974-06-01,5323
1974-07-01,5349
1974-08-01,5356
1974-09-01,5365
1974-10-01,5387
1974-11-01,5394
1974-12-01,5401
1975-01-01,5404
1975-02-01,5421
1975-03-01,5430
1975-04-01,5435
1975-05-01,5468
1975-06-01,5458
1975-07-01,5515
1975-08-01,5546
1975-09-01,5540
1975-10-01,5562
1975-11-01,5578
1975-12-01,5602
1976-01-01,5635
1976-02-01,5657
1976-03-01,5687
1976-04-01,5709
1976-05-01,5730
1976-06-01,5751
1976-07-01,5780
1976-08-01,5789
1976-09-01,5801
1976-10-01,5819
1976-11-01,5843
1976-12-01,5868
1977-01-01,5892
1977-02-01,5914
1977-03-01,5941
1977-04-01,5965
1977-05-01,5992
1977-06-01,6023
1977-07-01,6060
1977-08-01,6094
1977-09-01,6139
1977-10-01,6171
1977-11-01,6204
1977-12-01,6229
1978-01-01,6228
1978-02-01,6266
1978-03-01,6308
1978-04-01,6353
1978-05-01,6387
1978-06-01,6421
1978-07-01,6455
1978-08-01,6498
1978-09-01,6514
1978-10-01,6525
1978-11-01,6567
1978-12-01,6597
1979-01-01,6603
1979-02-01,6645
1979-03-01,6683
1979-04-01,6702
1979-05-01,6738
1979-06-01,6770
1979-07-01,6784
1979-08-01,6812
1979-09-01,6830
1979-10-01,6858
1979-11-01,6879
1979-12-01,6908
1980-01-01,6942
1980-02-01,6975
1980-03-01,7002
1980-04-01,7020
1980-05-01,7034
1980-06-01,7048
1980-07-01,7077
1980-08-01,7104
1980-09-01,7134
1980-10-01,7159
1980-11-01,7194
1980-12-01,7227
1981-01-01,7254
1981-02-01,7273
1981-03-01,7285
1981-04-01,7313
1981-05-01,7331
1981-06-01,7352
1981-07-01,7371
1981-08-01,7393
1981-09-01,7417
1981-10-01,7446
1981-11-01,7459
1981-12-01,7471
1982-01-01,7490
1982-02-01,7497
1982-03-01,7502
1982-04-01,7501
1982-05-01,7513
1982-06-01,7519
1982-07-01,7530
1982-08-01,7536
1982-09-01,7537
1982-10-01,7545
1982-11-01,7565
1982-12-01,7576
1983-01-01,7594
1983-02-01,7601
1983-03-01,7648
1983-04-01,7689
1983-05-01,7715
1983-06-01,7766
1983-07-01,7810
1983-08-01,7847
1983-09-01,7883
1983-10-01,7906
1983-11-01,7933
1983-12-01,7973
1984-01-01,8001
1984-02-01,8046
1984-03-01,8080
1984-04-01,8121
1984-05-01,8162
1984-06-01,8200
1984-07-01,8226
1984-08-01,8254
1984-09-01,8303
1984-10-01,8343
1984-11-01,8380
1984-12-01,8413
1985-01-01,8464
