DATE,LREM55TTUSM156S
1992-08-01,53.2301018929713
1992-09-01,53.3210258749749
1992-10-01,52.7030760042632
1992-11-01,52.7984198952779
1992-12-01,53.1293005600114
1993-01-01,53.1289139303866
1993-02-01,54.24708232523
1993-03-01,54.0958501076001
1993-04-01,54.1775108352576
1993-05-01,54.2876574878139
1993-06-01,54.6320662333905
1993-07-01,53.2368340511682
1993-08-01,53.6292828551636
1993-09-01,53.0981988326425
1993-10-01,53.2159219999463
1993-11-01,53.4424217665403
1993-12-01,53.7474617351757
1994-01-01,54.1946395536359
1994-02-01,53.9535341434463
1994-03-01,53.6523206234888
1994-04-01,54.0258174798165
1994-05-01,54.5500431057279
1994-06-01,54.2728125442476
1994-07-01,54.0226057634537
1994-08-01,54.1309510689567
1994-09-01,54.4427401765968
1994-10-01,54.9835422614078
