DATE,USLAH
1994-05-01,10063
1994-06-01,10083
1994-07-01,10108
1994-08-01,10133
1994-09-01,10157
1994-10-01,10160
1994-11-01,10222
1994-12-01,10268
1995-01-01,10348
1995-02-01,10375
1995-03-01,10417
1995-04-01,10438
1995-05-01,10459
1995-06-01,10507
1995-07-01,10535
1995-08-01,10564
1995-09-01,10582
1995-10-01,10579
1995-11-01,10589
1995-12-01,10600
1996-01-01,10613
1996-02-01,10645
1996-03-01,10693
1996-04-01,10720
1996-05-01,10755
1996-06-01,10787
1996-07-01,10801
1996-08-01,10819
1996-09-01,10813
1996-10-01,10858
1996-11-01,10881
1996-12-01,10901
1997-01-01,10921
1997-02-01,10952
1997-03-01,10968
1997-04-01,10984
1997-05-01,11015
1997-06-01,11029
1997-07-01,11016
1997-08-01,11030
1997-09-01,11059
1997-10-01,11062
1997-11-01,11074
1997-12-01,11087
1998-01-01,11100
1998-02-01,11123
1998-03-01,11134
1998-04-01,11156
1998-05-01,11213
1998-06-01,11215
1998-07-01,11248
1998-08-01,11273
1998-09-01,11311
1998-10-01,11298
1998-11-01,11337
1998-12-01,11376
1999-01-01,11385
1999-02-01,11425
1999-03-01,11443
1999-04-01,11478
1999-05-01,11506
1999-06-01,11539
1999-07-01,11546
1999-08-01,11567
1999-09-01,11597
1999-10-01,11648
1999-11-01,11682
1999-12-01,11706
2000-01-01,11713
2000-02-01,11719
2000-03-01,11788
2000-04-01,11834
2000-05-01,11827
2000-06-01,11869
2000-07-01,11900
2000-08-01,11927
2000-09-01,11940
2000-10-01,11876
2000-11-01,11946
2000-12-01,11976
2001-01-01,11977
2001-02-01,11997
2001-03-01,12000
2001-04-01,12040
2001-05-01,12068
2001-06-01,12076
2001-07-01,12110
2001-08-01,12093
2001-09-01,12061
2001-10-01,12015
2001-11-01,11985
2001-12-01,11967
2002-01-01,12006
2002-02-01,11962
2002-03-01,11965
2002-04-01,11928
2002-05-01,11936
2002-06-01,11905
2002-07-01,11912
2002-08-01,11936
2002-09-01,11991
2002-10-01,12070
2002-11-01,12109
2002-12-01,12112
2003-01-01,12173
2003-02-01,12130
2003-03-01,12109
2003-04-01,12085
2003-05-01,12092
2003-06-01,12121
2003-07-01,12143
2003-08-01,12177
2003-09-01,12208
2003-10-01,12259
2003-11-01,12284
2003-12-01,12320
2004-01-01,12346
2004-02-01,12372
2004-03-01,12425
2004-04-01,12435
2004-05-01,12481
2004-06-01,12495
2004-07-01,12495
2004-08-01,12485
2004-09-01,12550
2004-10-01,12582
2004-11-01,12606
2004-12-01,12630
2005-01-01,12665
2005-02-01,12690
2005-03-01,12718
2005-04-01,12802
2005-05-01,12797
2005-06-01,12837
2005-07-01,12867
2005-08-01,12891
2005-09-01,12862
2005-10-01,12840
2005-11-01,12884
2005-12-01,12905
2006-01-01,12945
2006-02-01,12980
2006-03-01,13034
2006-04-01,13074
2006-05-01,13052
2006-06-01,13061
2006-07-01,13130
2006-08-01,13152
2006-09-01,13150
2006-10-01,13187
2006-11-01,13251
2006-12-01,13292
2007-01-01,13338
2007-02-01,13361
2007-03-01,13363
2007-04-01,13375
2007-05-01,13404
2007-06-01,13413
2007-07-01,13417
2007-08-01,13419
2007-09-01,13461
2007-10-01,13499
2007-11-01,13535
2007-12-01,13550
2008-01-01,13542
2008-02-01,13543
2008-03-01,13531
2008-04-01,13511
2008-05-01,13498
2008-06-01,13482
2008-07-01,13463
2008-08-01,13431
2008-09-01,13379
2008-10-01,13352
2008-11-01,13300
2008-12-01,13256
2009-01-01,13222
2009-02-01,13193
2009-03-01,13127
2009-04-01,13056
2009-05-01,13106
2009-06-01,13076
2009-07-01,13078
2009-08-01,13046
2009-09-01,13054
2009-10-01,12995
2009-11-01,12986
2009-12-01,12944
2010-01-01,12932
2010-02-01,12927
2010-03-01,12943
2010-04-01,12979
2010-05-01,13012
2010-06-01,13034
2010-07-01,13048
2010-08-01,13081
2010-09-01,13137
2010-10-01,13127
2010-11-01,13126
2010-12-01,13157
2011-01-01,13149
2011-02-01,13188
2011-03-01,13247
2011-04-01,13298
2011-05-01,13293
2011-06-01,13343
2011-07-01,13370
2011-08-01,13395
2011-09-01,13426
2011-10-01,13464
2011-11-01,13511
2011-12-01,13538
2012-01-01,13600
2012-02-01,13641
2012-03-01,13706
2012-04-01,13709
2012-05-01,13705
2012-06-01,13702
2012-07-01,13735
2012-08-01,13804
2012-09-01,13872
2012-10-01,13883
2012-11-01,13910
2012-12-01,13978
2013-01-01,14037
2013-02-01,14082
2013-03-01,14113
2013-04-01,14152
2013-05-01,14193
2013-06-01,14252
2013-07-01,14288
2013-08-01,14327
2013-09-01,14339
2013-10-01,14395
2013-11-01,14432
2013-12-01,14454
2014-01-01,14489
2014-02-01,14509
2014-03-01,14564
2014-04-01,14614
2014-05-01,14670
2014-06-01,14693
2014-07-01,14703
2014-08-01,14725
2014-09-01,14768
2014-10-01,14811
2014-11-01,14849
2014-12-01,14892
2015-01-01,14917
2015-02-01,14979
2015-03-01,14992
2015-04-01,15031
2015-05-01,15105
2015-06-01,15114
2015-07-01,15158
2015-08-01,15196
2015-09-01,15263
2015-10-01,15316
2015-11-01,15370
2015-12-01,15406
2016-01-01,15441
2016-02-01,15503
2016-03-01,15549
2016-04-01,15576
2016-05-01,15588
2016-06-01,15638
2016-07-01,15673
2016-08-01,15715
2016-09-01,15747
2016-10-01,15767
2016-11-01,15825
2016-12-01,15844
2017-01-01,15884
2017-02-01,15920
2017-03-01,15939
2017-04-01,16010
2017-05-01,16029
2017-06-01,16061
2017-07-01,16118
2017-08-01,16123
2017-09-01,16043
2017-10-01,16145
2017-11-01,16163
2017-12-01,16195
2018-01-01,16208
2018-02-01,16233
2018-03-01,16244
2018-04-01,16262
2018-05-01,16300
2018-06-01,16343
2018-07-01,16378
2018-08-01,16395
2018-09-01,16371
2018-10-01,16450
2018-11-01,16489
2018-12-01,16554
2019-01-01,16647
2019-02-01,16646
2019-03-01,16678
2019-04-01,16687
2019-05-01,16699
2019-06-01,16706
2019-07-01,16716
