DATE,USPBS
1979-06-01,7346
1979-07-01,7360
1979-08-01,7378
1979-09-01,7395
1979-10-01,7421
1979-11-01,7436
1979-12-01,7459
1980-01-01,7488
1980-02-01,7512
1980-03-01,7536
1980-04-01,7533
1980-05-01,7534
1980-06-01,7534
1980-07-01,7548
1980-08-01,7576
1980-09-01,7605
1980-10-01,7629
1980-11-01,7660
1980-12-01,7691
1981-01-01,7714
1981-02-01,7730
1981-03-01,7744
1981-04-01,7768
1981-05-01,7785
1981-06-01,7806
1981-07-01,7824
1981-08-01,7841
1981-09-01,7857
1981-10-01,7873
1981-11-01,7876
1981-12-01,7876
1982-01-01,7880
1982-02-01,7884
1982-03-01,7884
1982-04-01,7870
1982-05-01,7880
1982-06-01,7875
1982-07-01,7876
1982-08-01,7872
1982-09-01,7867
1982-10-01,7861
1982-11-01,7870
1982-12-01,7877
1983-01-01,7890
1983-02-01,7893
1983-03-01,7934
1983-04-01,7972
1983-05-01,8001
1983-06-01,8044
1983-07-01,8088
1983-08-01,8119
1983-09-01,8167
1983-10-01,8190
1983-11-01,8219
1983-12-01,8259
1984-01-01,8293
1984-02-01,8337
1984-03-01,8371
1984-04-01,8410
1984-05-01,8447
1984-06-01,8483
1984-07-01,8507
1984-08-01,8533
1984-09-01,8581
1984-10-01,8615
1984-11-01,8649
1984-12-01,8678
1985-01-01,8722
1985-02-01,8751
1985-03-01,8792
1985-04-01,8815
1985-05-01,8854
1985-06-01,8880
1985-07-01,8897
1985-08-01,8944
1985-09-01,8983
1985-10-01,9017
1985-11-01,9055
1985-12-01,9083
1986-01-01,9099
1986-02-01,9123
1986-03-01,9143
1986-04-01,9174
1986-05-01,9198
1986-06-01,9218
1986-07-01,9247
1986-08-01,9276
1986-09-01,9305
1986-10-01,9335
1986-11-01,9366
1986-12-01,9399
1987-01-01,9439
1987-02-01,9473
1987-03-01,9507
1987-04-01,9549
1987-05-01,9592
1987-06-01,9618
1987-07-01,9662
1987-08-01,9700
1987-09-01,9724
1987-10-01,9763
1987-11-01,9795
1987-12-01,9838
1988-01-01,9884
1988-02-01,9942
1988-03-01,9973
1988-04-01,10008
1988-05-01,10048
1988-06-01,10103
1988-07-01,10146
1988-08-01,10178
1988-09-01,10220
1988-10-01,10255
1988-11-01,10313
1988-12-01,10370
1989-01-01,10410
1989-02-01,10466
1989-03-01,10498
1989-04-01,10525
1989-05-01,10556
1989-06-01,10573
1989-07-01,10595
1989-08-01,10613
1989-09-01,10647
1989-10-01,10658
1989-11-01,10724
1989-12-01,10764
1990-01-01,10821
1990-02-01,10886
1990-03-01,10920
1990-04-01,10919
1990-05-01,10909
1990-06-01,10922
1990-07-01,10927
1990-08-01,10909
1990-09-01,10895
1990-10-01,10850
1990-11-01,10831
1990-12-01,10799
1991-01-01,10812
1991-02-01,10766
1991-03-01,10727
1991-04-01,10714
1991-05-01,10694
1991-06-01,10712
1991-07-01,10711
1991-08-01,10735
1991-09-01,10771
1991-10-01,10777
1991-11-01,10773
1991-12-01,10791
1992-01-01,10808
1992-02-01,10825
1992-03-01,10858
1992-04-01,10902
1992-05-01,10960
1992-06-01,10993
