UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2014,19,4342464,2228987,2113477,1648486,1553193,350461,338620,33432,32039,112624,107320,5948,5826,78036,76479,1718467,1621567,387066,375608,56082,54279,140668,134286,12667,12167,1750661,1663697,1229472,1160036,326861,316381,19388,18421,107830,102780,4304,4208,62806,61871,1285867,1215413,356858,346916,35402,34335,131571,125529,9504,9132,478326,449780,419014,393157,23600,22239,14044,13618,4794,4540,1644,1618,15230,14608,432600,406154,30208,28692,20680,19944,9097,8757,3163,3035
R,1,2014,20,4417595,2272366,2145229,1675796,1570914,364966,350755,34404,32925,116220,110403,6115,5907,74865,74325,1742480,1637069,399435,386046,56633,55282,143584,136595,12687,12337,1787457,1694060,1250231,1176054,340972,328564,20042,19404,111516,105766,4343,4296,60353,59976,1304065,1229543,369243,357502,35858,35484,134645,127857,9449,9300,484909,451169,425565,394860,23994,22191,14362,13521,4704,4637,1772,1611,14512,14349,438415,407526,30192,28544,20775,19798,8939,8738,3238,3037
R,1,2014,21,4536934,2337655,2199279,1722350,1610838,377571,360644,36186,33698,121559,115497,6310,6006,73679,72596,1787763,1675294,410087,393791,59019,56174,148932,141773,12907,12460,1840445,1740950,1285881,1209489,353173,337896,21052,19904,116716,110791,4508,4337,59115,58533,1338383,1261530,379493,364907,37287,36073,140035,133123,9701,9354,497210,458329,436469,401349,24398,22748,15134,13794,4843,4706,1802,1669,14564,14063,449380,413764,30594,28884,21732,20101,8897,8650,3206,3106
R,1,2014,22,4622382,2365857,2256525,1740938,1646835,379518,371633,37037,33652,131451,125804,7034,6404,69879,72197,1802235,1710018,409706,404240,59041,55824,157899,153041,13804,13244,1871037,1800654,1308184,1250144,354409,347170,21457,20134,126431,120693,5041,4624,55515,57889,1356859,1300812,378472,373415,36933,35954,148837,143757,10372,9982,494820,455871,432754,396691,25109,24463,15580,13518,5020,5111,1993,1780,14364,14308,445376,409206,31234,30825,22108,19870,9062,9284,3432,3262
R,1,2014,23,4712946,2408273,2304673,1778500,1685915,377855,373577,36729,33378,140850,136006,7481,6743,66858,69054,1836844,1746338,405560,404287,58059,54770,167288,162314,14154,13398,1907931,1851293,1341007,1291752,352325,348628,20870,19948,135530,130898,5351,4941,52848,55126,1386985,1339945,374116,373235,35771,35087,158058,153190,10593,10171,500342,453380,437493,394163,25530,24949,15859,13430,5320,5108,2130,1802,14010,13928,449859,406393,31444,31052,22288,19683,9230,9124,3561,3227
R,1,2014,24,4570614,2332657,2237957,1727845,1635255,359797,360167,35483,31784,140367,139642,7533,6620,61632,64489,1781760,1691546,384865,388384,55313,51978,164675,164424,13717,12865,1852998,1805914,1308446,1259387,335343,336298,19960,19157,135271,134649,5418,4914,48560,51509,1350847,1304242,354898,358814,33814,33450,155960,155809,10294,9912,479659,432043,419399,375868,24454,23869,15523,12627,5096,4993,2115,1706,13072,12980,430913,387304,29967,29570,21499,18528,8715,8615,3423,2953
R,1,2014,25,4443343,2261473,2181870,1687144,1601438,333302,338461,34336,30729,142052,144111,7248,6647,57391,60484,1737053,1654126,356082,364356,52934,49660,165076,167900,13149,12563,1791031,1761711,1274970,1235645,309980,315366,18963,18229,137177,139206,5218,4954,44723,48311,1313765,1277679,327364,335783,31666,31717,156790,159571,9888,9669,470442,420159,412174,365793,23322,23095,15373,12500,4875,4905,2030,1693,12668,12173,423288,376447,28718,28573,21268,17943,8286,8329,3261,2894
R,1,2014,26,4334693,2206120,2128573,1661499,1571734,313565,321280,32974,29614,136663,141463,7305,6384,54114,58098,1708425,1622445,334889,345748,50765,48053,158391,164318,13069,12189,1742244,1715962,1253651,1211883,291496,299012,18020,17430,131974,136878,5224,4736,41879,46023,1289794,1251989,307650,318129,30067,30379,150437,156460,9767,9333,463876,412611,407848,359851,22069,22268,14954,12184,4689,4585,2081,1648,12235,12075,418631,370456,27239,27619,20698,17674,7954,7858,3302,2856
R,1,2014,27,4305184,2185477,2119707,1655806,1571272,301801,313825,32520,29149,136379,143478,7225,6433,51746,55550,1700883,1619495,321455,337107,49907,47553,157316,165157,12665,11896,1722624,1707451,1248401,1211338,280136,291645,17490,16913,131732,139047,5090,4744,39775,43764,1282933,1249202,294724,309771,29190,29773,149513,157541,9393,9111,462853,412256,407405,359934,21665,22180,15030,12236,4647,4431,2135,1689,11971,11786,417950,370293,26731,27336,20717,17780,7803,7616,3272,2785
R,1,2014,28,4367337,2213978,2153359,1684394,1600591,300228,313677,32496,29388,139078,148776,7302,6544,50480,54383,1728147,1647811,319372,335731,49834,47470,159274,170327,12679,12202,1741219,1734771,1268067,1234425,278179,291579,16904,16991,134460,144257,5113,4952,38496,42567,1301240,1271254,292261,308363,28521,29761,151547,162630,9317,9467,472759,418588,416327,366166,22049,22098,15592,12397,4618,4519,2189,1592,11984,11816,426907,376557,27111,27368,21313,17709,7727,7697,3362,2735
