DATE,CEU1000000001
1979-08-01,1040
1979-09-01,1033
1979-10-01,1034
1979-11-01,1034
1979-12-01,1032
1980-01-01,1025
1980-02-01,1030
1980-03-01,1035
1980-04-01,1047
1980-05-01,1070
1980-06-01,1101
1980-07-01,1088
1980-08-01,1090
1980-09-01,1098
1980-10-01,1101
1980-11-01,1116
1980-12-01,1121
1981-01-01,1125
1981-02-01,1130
1981-03-01,1142
1981-04-01,1012
1981-05-01,1035
1981-06-01,1205
1981-07-01,1233
1981-08-01,1251
1981-09-01,1258
1981-10-01,1252
1981-11-01,1260
1981-12-01,1252
1982-01-01,1234
1982-02-01,1233
1982-03-01,1233
1982-04-01,1217
1982-05-01,1198
1982-06-01,1195
1982-07-01,1168
1982-08-01,1147
1982-09-01,1124
1982-10-01,1091
1982-11-01,1072
1982-12-01,1048
1983-01-01,1021
1983-02-01,991
1983-03-01,981
1983-04-01,972
1983-05-01,976
1983-06-01,993
1983-07-01,1002
1983-08-01,1005
1983-09-01,1002
1983-10-01,1008
1983-11-01,1009
1983-12-01,1003
1984-01-01,998
1984-02-01,993
1984-03-01,994
1984-04-01,993
1984-05-01,1008
1984-06-01,1031
1984-07-01,1036
1984-08-01,1041
1984-09-01,1037
1984-10-01,1020
1984-11-01,1014
1984-12-01,998
1985-01-01,986
1985-02-01,978
1985-03-01,977
1985-04-01,978
1985-05-01,982
1985-06-01,990
1985-07-01,985
1985-08-01,981
1985-09-01,971
1985-10-01,962
1985-11-01,953
1985-12-01,940
1986-01-01,927
1986-02-01,904
1986-03-01,875
1986-04-01,845
1986-05-01,824
1986-06-01,821
1986-07-01,818
1986-08-01,805
1986-09-01,792
1986-10-01,787
1986-11-01,782
1986-12-01,769
1987-01-01,750
1987-02-01,745
1987-03-01,745
1987-04-01,749
1987-05-01,761
1987-06-01,772
1987-07-01,780
1987-08-01,787
1987-09-01,792
1987-10-01,795
1987-11-01,794
1987-12-01,785
1988-01-01,772
1988-02-01,768
1988-03-01,761
1988-04-01,764
1988-05-01,770
1988-06-01,779
1988-07-01,782
1988-08-01,782
1988-09-01,771
1988-10-01,770
1988-11-01,763
1988-12-01,753
1989-01-01,738
1989-02-01,731
1989-03-01,731
1989-04-01,737
1989-05-01,746
1989-06-01,748
1989-07-01,743
1989-08-01,770
1989-09-01,767
1989-10-01,765
1989-11-01,766
1989-12-01,759
1990-01-01,748
1990-02-01,745
1990-03-01,744
1990-04-01,753
1990-05-01,765
1990-06-01,779
1990-07-01,784
1990-08-01,781
1990-09-01,777
1990-10-01,772
1990-11-01,767
1990-12-01,761
1991-01-01,745
1991-02-01,743
1991-03-01,739
1991-04-01,740
1991-05-01,743
1991-06-01,752
1991-07-01,755
1991-08-01,751
1991-09-01,739
1991-10-01,731
1991-11-01,721
1991-12-01,711
1992-01-01,693
1992-02-01,686
1992-03-01,684
1992-04-01,686
1992-05-01,691
1992-06-01,694
1992-07-01,700
1992-08-01,695
1992-09-01,686
1992-10-01,687
1992-11-01,684
1992-12-01,677
1993-01-01,664
1993-02-01,654
1993-03-01,655
1993-04-01,657
1993-05-01,666
1993-06-01,669
1993-07-01,676
1993-08-01,670
1993-09-01,672
1993-10-01,670
1993-11-01,666
1993-12-01,672
1994-01-01,657
1994-02-01,650
1994-03-01,647
1994-04-01,648
1994-05-01,653
1994-06-01,665
1994-07-01,669
1994-08-01,670
1994-09-01,669
1994-10-01,663
1994-11-01,660
1994-12-01,651
1995-01-01,638
1995-02-01,631
1995-03-01,631
1995-04-01,631
1995-05-01,636
1995-06-01,647
1995-07-01,651
1995-08-01,652
1995-09-01,648
1995-10-01,647
1995-11-01,640
1995-12-01,635
1996-01-01,620
1996-02-01,621
1996-03-01,622
1996-04-01,625
1996-05-01,633
1996-06-01,645
1996-07-01,650
1996-08-01,653
1996-09-01,646
1996-10-01,645
1996-11-01,645
1996-12-01,640
1997-01-01,632
1997-02-01,633
1997-03-01,633
1997-04-01,639
1997-05-01,649
1997-06-01,661
1997-07-01,668
1997-08-01,669
1997-09-01,669
1997-10-01,668
1997-11-01,663
1997-12-01,659
1998-01-01,645
1998-02-01,643
1998-03-01,642
1998-04-01,641
1998-05-01,646
1998-06-01,655
1998-07-01,655
1998-08-01,655
1998-09-01,648
1998-10-01,644
1998-11-01,635
1998-12-01,627
1999-01-01,603
1999-02-01,595
1999-03-01,593
1999-04-01,589
1999-05-01,591
1999-06-01,600
1999-07-01,605
1999-08-01,607
1999-09-01,602
1999-10-01,604
1999-11-01,599
1999-12-01,592
2000-01-01,579
2000-02-01,579
2000-03-01,577
2000-04-01,582
2000-05-01,595
2000-06-01,606
2000-07-01,612
2000-08-01,614
2000-09-01,616
2000-10-01,619
2000-11-01,611
2000-12-01,601
2001-01-01,592
2001-02-01,590
2001-03-01,594
2001-04-01,596
2001-05-01,606
2001-06-01,619
2001-07-01,620
2001-08-01,623
2001-09-01,617
2001-10-01,614
2001-11-01,606
2001-12-01,596
2002-01-01,585
2002-02-01,579
2002-03-01,574
2002-04-01,576
2002-05-01,582
2002-06-01,588
2002-07-01,587
2002-08-01,591
2002-09-01,586
2002-10-01,586
2002-11-01,582
2002-12-01,575
2003-01-01,559
2003-02-01,559
2003-03-01,556
2003-04-01,556
2003-05-01,569
2003-06-01,582
2003-07-01,582
2003-08-01,584
2003-09-01,581
2003-10-01,584
2003-11-01,581
2003-12-01,574
2004-01-01,559
2004-02-01,561
2004-03-01,570
2004-04-01,578
2004-05-01,591
2004-06-01,600
2004-07-01,606
2004-08-01,608
2004-09-01,608
2004-10-01,604
2004-11-01,603
2004-12-01,601
2005-01-01,591
2005-02-01,595
2005-03-01,602
2005-04-01,610
2005-05-01,622
2005-06-01,635
2005-07-01,637
2005-08-01,642
2005-09-01,646
2005-10-01,650
2005-11-01,651
2005-12-01,650
2006-01-01,639
2006-02-01,644
2006-03-01,654
2006-04-01,669
2006-05-01,681
2006-06-01,696
2006-07-01,702
2006-08-01,705
2006-09-01,704
2006-10-01,709
2006-11-01,703
2006-12-01,702
2007-01-01,690
2007-02-01,694
2007-03-01,701
2007-04-01,710
2007-05-01,720
2007-06-01,734
2007-07-01,741
2007-08-01,745
2007-09-01,738
2007-10-01,738
2007-11-01,739
2007-12-01,738
2008-01-01,730
2008-02-01,731
2008-03-01,741
2008-04-01,745
2008-05-01,760
2008-06-01,774
2008-07-01,784
2008-08-01,796
2008-09-01,795
2008-10-01,791
2008-11-01,783
2008-12-01,768
2009-01-01,746
2009-02-01,732
2009-03-01,714
2009-04-01,700
2009-05-01,692
2009-06-01,693
2009-07-01,691
2009-08-01,681
2009-09-01,678
2009-10-01,669
2009-11-01,669
2009-12-01,661
2010-01-01,652
2010-02-01,659
2010-03-01,668
2010-04-01,677
2010-05-01,695
2010-06-01,708
2010-07-01,721
2010-08-01,728
2010-09-01,732
2010-10-01,742
2010-11-01,741
2010-12-01,731
2011-01-01,721
2011-02-01,723
2011-03-01,741
2011-04-01,757
2011-05-01,776
2011-06-01,798
2011-07-01,813
2011-08-01,817
2011-09-01,822
2011-10-01,830
2011-11-01,828
2011-12-01,828
2012-01-01,824
2012-02-01,832
2012-03-01,836
2012-04-01,840
2012-05-01,854
2012-06-01,862
2012-07-01,865
2012-08-01,866
2012-09-01,857
2012-10-01,847
2012-11-01,846
2012-12-01,848
2013-01-01,838
2013-02-01,844
2013-03-01,847
2013-04-01,847
2013-05-01,857
2013-06-01,869
2013-07-01,875
2013-08-01,881
2013-09-01,878
2013-10-01,879
2013-11-01,871
2013-12-01,867
2014-01-01,860
2014-02-01,860
2014-03-01,868
2014-04-01,875
2014-05-01,881
2014-06-01,895
2014-07-01,909
2014-08-01,913
2014-09-01,914
2014-10-01,909
2014-11-01,904
2014-12-01,898
2015-01-01,877
2015-02-01,861
2015-03-01,848
2015-04-01,832
2015-05-01,817
2015-06-01,819
2015-07-01,818
2015-08-01,804
2015-09-01,788
2015-10-01,780
2015-11-01,761
2015-12-01,749
2016-01-01,721
2016-02-01,698
2016-03-01,681
2016-04-01,667
2016-05-01,663
2016-06-01,662
2016-07-01,662
2016-08-01,658
2016-09-01,653
2016-10-01,653
2016-11-01,652
2016-12-01,646
2017-01-01,637
2017-02-01,645
2017-03-01,650
2017-04-01,659
2017-05-01,671
2017-06-01,683
2017-07-01,689
2017-08-01,695
2017-09-01,693
2017-10-01,696
2017-11-01,698
2017-12-01,694
2018-01-01,686
2018-02-01,695
2018-03-01,704
2018-04-01,714
2018-05-01,725
2018-06-01,740
2018-07-01,745
2018-08-01,757
2018-09-01,754
2018-10-01,759
2018-11-01,751
2018-12-01,753
2019-01-01,745
2019-02-01,744
2019-03-01,746
2019-04-01,747
2019-05-01,754
2019-06-01,762
2019-07-01,762
